ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,category_id,category_name,keyword,source_id,model
2023-11-19,5.066494309143283,7.511216002104578,20.58380357485977,5.066494309143283,5.066494309143283,1.6976332828891776,1.6976332828891776,1.6976332828891776,1.745038002189263,1.745038002189263,1.745038002189263,-0.0474047193000856,-0.0474047193000856,-0.0474047193000856,0.0,0.0,0.0,13.66754367591353,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2023-11-26,5.069098287833202,6.506146673416695,20.182326263492108,5.069098287833202,5.069098287833202,1.6010681590977514,1.6010681590977514,1.6010681590977514,1.745038002189263,1.745038002189263,1.745038002189263,-0.1439698430915118,-0.1439698430915118,-0.1439698430915118,0.0,0.0,0.0,13.185070151819872,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2023-12-03,5.071702266523121,6.168433716902132,18.872131172508166,5.071702266523121,5.071702266523121,1.4547203399564737,1.4547203399564737,1.4547203399564737,1.745038002189263,1.745038002189263,1.745038002189263,-0.2903176622327895,-0.2903176622327895,-0.2903176622327895,0.0,0.0,0.0,12.449610711837654,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2023-12-10,5.07430624521304,5.644792035730178,18.17763790208653,5.07430624521304,5.07430624521304,1.3508657749819513,1.3508657749819513,1.3508657749819513,1.745038002189263,1.745038002189263,1.745038002189263,-0.3941722272073118,-0.3941722272073118,-0.3941722272073118,0.0,0.0,0.0,11.92901288364851,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2023-12-17,5.07691022390296,5.171556907802577,18.148909530534944,5.07691022390296,5.07691022390296,1.271544297439593,1.271544297439593,1.271544297439593,1.7450380021892633,1.7450380021892633,1.7450380021892633,-0.4734937047496703,-0.4734937047496703,-0.4734937047496703,0.0,0.0,0.0,11.532426467719535,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2023-12-24,5.079514202592879,4.552311624628887,17.450205363339435,5.079514202592879,5.079514202592879,1.1914154142310158,1.1914154142310158,1.1914154142310158,1.745038002189263,1.745038002189263,1.745038002189263,-0.553622587958247,-0.553622587958247,-0.553622587958247,0.0,0.0,0.0,11.131325720367402,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2023-12-31,5.082118181282798,4.629999410311101,17.897235231629548,5.082118181282798,5.082118181282798,1.1441606514481502,1.1441606514481502,1.1441606514481502,1.745038002189263,1.745038002189263,1.745038002189263,-0.6008773507411129,-0.6008773507411129,-0.6008773507411129,0.0,0.0,0.0,10.89687783031581,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-01-07,5.084714308977333,4.832791893090527,17.48738356089831,5.084714308977333,5.084714308977333,1.1497087460543298,1.1497087460543298,1.1497087460543298,1.745038002189263,1.745038002189263,1.745038002189263,-0.5953292561349333,-0.5953292561349333,-0.5953292561349333,0.0,0.0,0.0,10.93065482119617,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-01-14,5.087310436671866,4.418797692061066,17.722530991335887,5.087310436671866,5.087310436671866,1.1419680930868603,1.1419680930868603,1.1419680930868603,1.745038002189263,1.745038002189263,1.745038002189263,-0.6030699091024029,-0.6030699091024029,-0.6030699091024029,0.0,0.0,0.0,10.89685663497892,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-01-21,5.089906564366401,3.7519911236789754,17.23211277156845,5.089906564366401,5.089906564366401,1.0538985654184096,1.0538985654184096,1.0538985654184096,1.745038002189263,1.745038002189263,1.745038002189263,-0.6911394367708534,-0.6911394367708534,-0.6911394367708534,0.0,0.0,0.0,10.454151790665897,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-01-28,5.092502692060936,3.145940295931357,16.820309755448914,5.092502692060936,5.092502692060936,0.964561846016306,0.964561846016306,0.964561846016306,1.745038002189263,1.745038002189263,1.745038002189263,-0.780476156172957,-0.780476156172957,-0.780476156172957,0.0,0.0,0.0,10.004536489558241,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-02-04,5.09509881975547,3.8829261480000925,17.285494203657304,5.09509881975547,5.09509881975547,1.061447514527504,1.061447514527504,1.061447514527504,1.745038002189263,1.745038002189263,1.745038002189263,-0.6835904876617592,-0.6835904876617592,-0.6835904876617592,0.0,0.0,0.0,10.503278798256932,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-02-11,5.097694947450004,5.788595877773124,18.21721532975032,5.097694947450004,5.097694947450004,1.3899503947137335,1.3899503947137335,1.3899503947137335,1.745038002189263,1.745038002189263,1.745038002189263,-0.3550876074755294,-0.3550876074755294,-0.3550876074755294,0.0,0.0,0.0,12.183238051788344,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-02-18,5.100291075144539,7.41568813297178,20.94141532945618,5.100291075144539,5.100291075144539,1.6987902437952827,1.6987902437952827,1.6987902437952827,1.745038002189263,1.745038002189263,1.745038002189263,-0.046247758393980334,-0.046247758393980334,-0.046247758393980334,0.0,0.0,0.0,13.764615794116233,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-02-25,5.1028872028390735,7.1586797401824125,20.584980891398445,5.1028872028390735,5.1028872028390735,1.6602172058985611,1.6602172058985611,1.6602172058985611,1.745038002189263,1.745038002189263,1.745038002189263,-0.08482079629070205,-0.08482079629070205,-0.08482079629070205,0.0,0.0,0.0,13.574788336752084,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
